ID;SOA;Condition;Panel;Reaction Time (ms)
6;short;II;T2-locked RT;1305.18
7;short;II;T2-locked RT;907.57
8;short;II;T2-locked RT;1488.44
9;short;II;T2-locked RT;1158.65
10;short;II;T2-locked RT;1369.8
11;short;II;T2-locked RT;1426.38
12;short;II;T2-locked RT;1119.77
13;short;II;T2-locked RT;1175.47
14;short;II;T2-locked RT;1271.17
15;short;II;T2-locked RT;1161.91
16;short;II;T2-locked RT;1092.88
17;short;II;T2-locked RT;1079.55
18;short;II;T2-locked RT;1286.67
19;short;II;T2-locked RT;857.39
20;short;II;T2-locked RT;1332.53
21;short;II;T2-locked RT;1202.14
22;short;II;T2-locked RT;1266.13972972973
23;short;II;T2-locked RT;1232.80972972973
24;short;II;T2-locked RT;1352
25;short;II;T2-locked RT;1311.33
26;short;II;T2-locked RT;1198.84
27;short;II;T2-locked RT;1119.67
28;short;II;T2-locked RT;1342.93
29;short;II;T2-locked RT;1171.77
30;short;II;T2-locked RT;1512.39
31;short;II;T2-locked RT;1397.88
32;short;II;T2-locked RT;1313.9
33;short;II;T2-locked RT;1313.23
34;short;II;T2-locked RT;1135.1
35;short;II;T2-locked RT;1106.17
36;short;II;T2-locked RT;1261.33
37;short;II;T2-locked RT;980.92
38;short;II;T2-locked RT;1134.85
39;short;II;T2-locked RT;1303.08
40;short;II;T2-locked RT;1372.15
1;long;CC;T2-locked RT;591.42
2;long;CC;T2-locked RT;562.27
3;long;CC;T2-locked RT;570.78
4;long;CC;T2-locked RT;589.81
5;long;CC;T2-locked RT;575.67
6;long;CC;T2-locked RT;589.87
7;long;CC;T2-locked RT;489.64
8;long;CC;T2-locked RT;649.95
9;long;CC;T2-locked RT;512
10;long;CC;T2-locked RT;637.56
11;long;CC;T2-locked RT;630.97
12;long;CC;T2-locked RT;536.14
13;long;CC;T2-locked RT;542.73
14;long;CC;T2-locked RT;634.42
15;long;CC;T2-locked RT;528.39
16;long;CC;T2-locked RT;548.81
17;long;CC;T2-locked RT;558.26
18;long;CC;T2-locked RT;597.73
19;long;CC;T2-locked RT;488.37
20;long;CC;T2-locked RT;602.58
21;long;CC;T2-locked RT;581.97
22;long;CC;T2-locked RT;585.790540540541
23;long;CC;T2-locked RT;552.46054054054
24;long;CC;T2-locked RT;600.22
25;long;CC;T2-locked RT;652.7
26;long;CC;T2-locked RT;514.08
27;long;CC;T2-locked RT;579.25
28;long;CC;T2-locked RT;718.63
29;long;CC;T2-locked RT;554.44
30;long;CC;T2-locked RT;708.52
31;long;CC;T2-locked RT;571.35
32;long;CC;T2-locked RT;551.58
33;long;CC;T2-locked RT;610.89
34;long;CC;T2-locked RT;510.68
35;long;CC;T2-locked RT;516.83
36;long;CC;T2-locked RT;605
37;long;CC;T2-locked RT;479.77
38;long;CC;T2-locked RT;447.44
39;long;CC;T2-locked RT;514.91
40;long;CC;T2-locked RT;635.94
1;long;CI;T2-locked RT;740.8
2;long;CI;T2-locked RT;800.75
3;long;CI;T2-locked RT;919.06
4;long;CI;T2-locked RT;1044.4
5;long;CI;T2-locked RT;838.71
6;long;CI;T2-locked RT;792.35
7;long;CI;T2-locked RT;601.79
8;long;CI;T2-locked RT;992.49
9;long;CI;T2-locked RT;766.44
10;long;CI;T2-locked RT;791.02
11;long;CI;T2-locked RT;781.9
12;long;CI;T2-locked RT;748.92
13;long;CI;T2-locked RT;718.62
14;long;CI;T2-locked RT;880.93
15;long;CI;T2-locked RT;709.54
16;long;CI;T2-locked RT;736.16
17;long;CI;T2-locked RT;747.14
18;long;CI;T2-locked RT;791.44
19;long;CI;T2-locked RT;607.05
20;long;CI;T2-locked RT;746.49
21;long;CI;T2-locked RT;867.42
22;long;CI;T2-locked RT;797.291621621622
23;long;CI;T2-locked RT;763.961621621622
24;long;CI;T2-locked RT;930.78
25;long;CI;T2-locked RT;809.97
26;long;CI;T2-locked RT;716.2
27;long;CI;T2-locked RT;753.02
28;long;CI;T2-locked RT;938.95
29;long;CI;T2-locked RT;741.7
30;long;CI;T2-locked RT;902.98
31;long;CI;T2-locked RT;857.87
32;long;CI;T2-locked RT;748.52
33;long;CI;T2-locked RT;761.1
34;long;CI;T2-locked RT;728.66
35;long;CI;T2-locked RT;674.25
36;long;CI;T2-locked RT;735.61
37;long;CI;T2-locked RT;668.5
38;long;CI;T2-locked RT;684.74
39;long;CI;T2-locked RT;704.36
40;long;CI;T2-locked RT;817.63
1;long;IC;T2-locked RT;555.49
2;long;IC;T2-locked RT;586.05
3;long;IC;T2-locked RT;604.45
4;long;IC;T2-locked RT;860.92
5;long;IC;T2-locked RT;748.54
6;long;IC;T2-locked RT;643.6
7;long;IC;T2-locked RT;487.31
8;long;IC;T2-locked RT;711.48
9;long;IC;T2-locked RT;528.9
10;long;IC;T2-locked RT;631.41
11;long;IC;T2-locked RT;651.56
12;long;IC;T2-locked RT;549.84
13;long;IC;T2-locked RT;543.87
14;long;IC;T2-locked RT;650.52
15;long;IC;T2-locked RT;518.51
16;long;IC;T2-locked RT;560.42
17;long;IC;T2-locked RT;513.54
18;long;IC;T2-locked RT;584.97
19;long;IC;T2-locked RT;502.71
20;long;IC;T2-locked RT;648.52
21;long;IC;T2-locked RT;614.55
22;long;IC;T2-locked RT;615.108378378378
23;long;IC;T2-locked RT;581.778378378378
24;long;IC;T2-locked RT;670.5
25;long;IC;T2-locked RT;685.92
26;long;IC;T2-locked RT;517.58
27;long;IC;T2-locked RT;557.9
28;long;IC;T2-locked RT;708.38
29;long;IC;T2-locked RT;560.28
30;long;IC;T2-locked RT;763.05
31;long;IC;T2-locked RT;688.54
32;long;IC;T2-locked RT;562.05
33;long;IC;T2-locked RT;585.02
34;long;IC;T2-locked RT;532.2
35;long;IC;T2-locked RT;545.65
36;long;IC;T2-locked RT;658.43
37;long;IC;T2-locked RT;482.23
38;long;IC;T2-locked RT;482.28
39;long;IC;T2-locked RT;545.26
40;long;IC;T2-locked RT;624.02
1;long;II;T2-locked RT;738.71
2;long;II;T2-locked RT;733.54
3;long;II;T2-locked RT;894.33
4;long;II;T2-locked RT;1049.14
5;long;II;T2-locked RT;921.32
6;long;II;T2-locked RT;865.93
7;long;II;T2-locked RT;608.76
8;long;II;T2-locked RT;946.44
9;long;II;T2-locked RT;733.02
10;long;II;T2-locked RT;851.21
11;long;II;T2-locked RT;819.41
12;long;II;T2-locked RT;719.35
13;long;II;T2-locked RT;725.78
14;long;II;T2-locked RT;910.97
15;long;II;T2-locked RT;717.78
16;long;II;T2-locked RT;721.71
17;long;II;T2-locked RT;684.36
18;long;II;T2-locked RT;792.1
19;long;II;T2-locked RT;603.09
20;long;II;T2-locked RT;765.55
21;long;II;T2-locked RT;832.79
22;long;II;T2-locked RT;796.551621621622
23;long;II;T2-locked RT;763.221621621622
24;long;II;T2-locked RT;902
25;long;II;T2-locked RT;807.75
26;long;II;T2-locked RT;673.16
