ID;SOA;Condition;T1cond;T2cond;Panel;Reaction Time (ms)
38;long;CI;C;I;T1-locked RT;820.02625
39;long;CI;C;I;T1-locked RT;804.520427631579
40;long;CI;C;I;T1-locked RT;819.657063753133
1;long;IC;I;C;T1-locked RT;1165.57
2;long;IC;I;C;T1-locked RT;1103.49
3;long;IC;I;C;T1-locked RT;619.83
4;long;IC;I;C;T1-locked RT;796.27
5;long;IC;I;C;T1-locked RT;897.75
6;long;IC;I;C;T1-locked RT;1134.64
7;long;IC;I;C;T1-locked RT;957.91
8;long;IC;I;C;T1-locked RT;863.94
9;long;IC;I;C;T1-locked RT;887.73
10;long;IC;I;C;T1-locked RT;1158.53
11;long;IC;I;C;T1-locked RT;1194.54
12;long;IC;I;C;T1-locked RT;841.2
13;long;IC;I;C;T1-locked RT;1406.8
14;long;IC;I;C;T1-locked RT;854.89
15;long;IC;I;C;T1-locked RT;1023.07
16;long;IC;I;C;T1-locked RT;989.25
17;long;IC;I;C;T1-locked RT;1248.81
18;long;IC;I;C;T1-locked RT;1182.46
19;long;IC;I;C;T1-locked RT;1107.12
20;long;IC;I;C;T1-locked RT;958.46
21;long;IC;I;C;T1-locked RT;863.23
22;long;IC;I;C;T1-locked RT;847.01
23;long;IC;I;C;T1-locked RT;705.75
24;long;IC;I;C;T1-locked RT;1118.82
25;long;IC;I;C;T1-locked RT;1112.32
26;long;IC;I;C;T1-locked RT;814.75
27;long;IC;I;C;T1-locked RT;747.83
28;long;IC;I;C;T1-locked RT;913.25
29;long;IC;I;C;T1-locked RT;887.17
30;long;IC;I;C;T1-locked RT;960.83
31;long;IC;I;C;T1-locked RT;1049
32;long;IC;I;C;T1-locked RT;740.1
33;long;IC;I;C;T1-locked RT;875.12
34;long;IC;I;C;T1-locked RT;638.68
35;long;IC;I;C;T1-locked RT;767.89
36;long;IC;I;C;T1-locked RT;929.34
37;long;IC;I;C;T1-locked RT;705.94
38;long;IC;I;C;T1-locked RT;959.36775
39;long;IC;I;C;T1-locked RT;948.122572368421
40;long;IC;I;C;T1-locked RT;959.100007675438
1;long;II;I;I;T1-locked RT;1082.28
2;long;II;I;I;T1-locked RT;1046.69
3;long;II;I;I;T1-locked RT;624.25
4;long;II;I;I;T1-locked RT;768.36
5;long;II;I;I;T1-locked RT;915.03
6;long;II;I;I;T1-locked RT;1113.44
7;long;II;I;I;T1-locked RT;956.02
8;long;II;I;I;T1-locked RT;849.95
9;long;II;I;I;T1-locked RT;898.65
10;long;II;I;I;T1-locked RT;1226.8
11;long;II;I;I;T1-locked RT;1235.93
12;long;II;I;I;T1-locked RT;822.4
13;long;II;I;I;T1-locked RT;1258.06
14;long;II;I;I;T1-locked RT;822.63
15;long;II;I;I;T1-locked RT;1028.11
16;long;II;I;I;T1-locked RT;979.38
17;long;II;I;I;T1-locked RT;1720.5
18;long;II;I;I;T1-locked RT;1287.03
19;long;II;I;I;T1-locked RT;1051.29
20;long;II;I;I;T1-locked RT;965.86
21;long;II;I;I;T1-locked RT;866.27
22;long;II;I;I;T1-locked RT;878.27
23;long;II;I;I;T1-locked RT;676.03
24;long;II;I;I;T1-locked RT;1122.59
25;long;II;I;I;T1-locked RT;1097.55
26;long;II;I;I;T1-locked RT;811.42
27;long;II;I;I;T1-locked RT;777.85
28;long;II;I;I;T1-locked RT;910.88
29;long;II;I;I;T1-locked RT;894.96
30;long;II;I;I;T1-locked RT;999.98
31;long;II;I;I;T1-locked RT;1113.89
32;long;II;I;I;T1-locked RT;732.7
33;long;II;I;I;T1-locked RT;753.6
34;long;II;I;I;T1-locked RT;651.4
35;long;II;I;I;T1-locked RT;761.41
36;long;II;I;I;T1-locked RT;933.99
37;long;II;I;I;T1-locked RT;726.1
38;long;II;I;I;T1-locked RT;947.0545
39;long;II;I;I;T1-locked RT;955.489592105263
40;long;II;I;I;T1-locked RT;947.255335526316
1;short;CC;C;C;T2-locked RT;1514.95
2;short;CC;C;C;T2-locked RT;1254.48
3;short;CC;C;C;T2-locked RT;766.83
4;short;CC;C;C;T2-locked RT;1068.08
5;short;CC;C;C;T2-locked RT;1142.38
6;short;CC;C;C;T2-locked RT;1124.36
7;short;CC;C;C;T2-locked RT;1282.69
8;short;CC;C;C;T2-locked RT;1095.12
9;short;CC;C;C;T2-locked RT;1223.47
10;short;CC;C;C;T2-locked RT;1482.17
11;short;CC;C;C;T2-locked RT;1452.14
12;short;CC;C;C;T2-locked RT;1115.77
13;short;CC;C;C;T2-locked RT;1225.79
14;short;CC;C;C;T2-locked RT;990.23
15;short;CC;C;C;T2-locked RT;1521.03
16;short;CC;C;C;T2-locked RT;1278.38
17;short;CC;C;C;T2-locked RT;1365.53
18;short;CC;C;C;T2-locked RT;1487.36
19;short;CC;C;C;T2-locked RT;1137.83
20;short;CC;C;C;T2-locked RT;1069.59
21;short;CC;C;C;T2-locked RT;1060.16
22;short;CC;C;C;T2-locked RT;1052.19
23;short;CC;C;C;T2-locked RT;872.41
24;short;CC;C;C;T2-locked RT;1346.52
25;short;CC;C;C;T2-locked RT;1211.97
